Time, Counts, LTA, Delta, Yaw, Pitch
2667.8630000000003,1060,1172,112,4.61,4.61
2671.8540000000003,1060,1172,112,4.66,4.66
2674.881,1059,1172,113,5.77,5.77
2678.843,1059,1172,113,4.88,4.88
2683.8630000000003,1059,1172,113,5.75,5.75
2686.851,1058,1172,114,4.45,4.45
2691.839,1057,1172,115,3.82,3.82
2694.8289999999997,1056,1172,116,1.05,1.05
2699.7799999999997,1056,1172,116,4.42,4.42
2704.763,1056,1172,116,3.4,3.4
2707.758,1056,1172,116,1.71,1.71
2710.786,1056,1172,116,7.47,7.47
2717.734,1055,1172,117,11.04,11.04
2721.717,1055,1172,117,3.16,3.16
2725.707,1056,1172,116,5.92,5.92
2730.697,1056,1172,116,5.12,5.12
2734.746,1055,1172,117,2.99,2.99
2738.71,1055,1172,117,5.67,5.67
2742.661,1055,1172,117,2.75,2.75
2746.651,1055,1172,117,3.86,3.86
2750.642,1054,1172,118,5.31,5.31
2755.627,1054,1172,118,5.05,5.05
2760.6130000000003,1054,1172,118,4.73,4.73
2767.602,1055,1172,117,4.68,4.68
2771.59,1054,1172,118,4.24,4.24
2774.615,1054,1172,118,4.73,4.73
2778.567,1054,1172,118,4.46,4.46
2782.556,1055,1172,117,5.51,5.51
2786.5879999999997,1055,1172,117,4.3,4.3
2791.5370000000003,1056,1172,116,3.17,3.17
2795.525,1055,1172,117,2.54,2.54
2799.51,1055,1172,117,3.39,3.39
2804.496,1055,1172,117,3.85,3.85
2808.485,1055,1172,117,4.48,4.48
2812.475,1055,1172,117,5.52,5.52
2816.464,1055,1172,117,4.56,4.56
2820.4539999999997,1054,1172,118,4.68,4.68
2824.443,1054,1172,118,5.22,5.22
2828.432,1054,1172,118,2.77,2.77
2832.4210000000003,1054,1172,118,3.97,3.97
2836.413,1054,1172,118,3.4,3.4
2841.398,1053,1172,119,4.68,4.68
2844.389,1053,1172,119,4.41,4.41
2848.38,1053,1172,119,5.32,5.32
2854.3630000000003,1053,1172,119,3.85,3.85
2870.319,1053,1172,119,4.63,4.63
2902.236,1053,1172,119,-0.43,-0.43
2914.242,1053,1172,119,-1.26,-1.26
2930.2,1053,1172,119,1.5,1.5
2955.099,1053,1172,119,-3.17,-3.17
2972.093,1053,1172,119,-12.6,-12.6
2992.002,1054,1172,118,-6.82,-6.82
3024.95,1053,1172,119,10.1,10.1
3029.932,1051,1172,121,25.8,25.8
3053.832,1054,1172,118,23.78,23.78
3071.819,1056,1172,116,17.73,17.73
3094.72,1057,1172,115,6.79,6.79
3117.698,1055,1172,117,6.5,6.5
3134.619,1054,1172,118,12.16,12.16
3153.568,1055,1172,117,11.49,11.49
3176.505,1057,1172,115,6.73,6.73
3193.457,1057,1172,115,12.06,12.06
3215.453,1056,1172,116,17.83,17.83
3235.347,1055,1172,117,13.23,13.23
3253.334,1057,1172,115,6.33,6.33
3297.187,1058,1172,114,1.91,1.91
3304.203,1057,1172,115,2.63,2.63
3313.177,1055,1172,117,2.03,2.03
3358.054,1054,1172,118,-1.16,-1.16
3364.001,1055,1172,117,1.4,1.4
3377.997,1054,1172,118,4.38,4.38
3396.952,1052,1172,120,12.24,12.24
3416.86,1053,1172,119,10.74,10.74
3444.824,1055,1172,117,2.08,2.08
3461.739,1055,1172,117,0.55,0.55
3478.733,1053,1172,119,7.95,7.95
3496.686,1052,1172,120,-9.43,-9.43
3517.607,1051,1172,121,-17.51,-17.51
3540.568,1051,1172,121,-24.57,-24.57
3557.52,1050,1172,122,-18.11,-18.11
3579.462,1046,1172,126,14.49,14.49
3605.417,1043,1172,129,16.92,16.92
3622.312,1046,1172,126,-6.14,-6.14
3643.252,1050,1172,122,-12.23,-12.23
3660.209,1048,1172,124,-17.63,-17.63
3683.148,1043,1172,129,-12.74,-12.74
3701.1,1043,1172,129,-20.66,-20.66
3722.043,1045,1172,127,-30.42,-30.42
3738.041,1046,1172,126,-50.88,-50.88
3767.923,1043,1172,129,-52.71,-52.71
3781.884,1041,1172,131,-31.63,-31.63
3803.823,1040,1172,132,-64.36,-64.36
3825.765,1042,1172,130,-75.31,-75.31
3844.718,1042,1172,130,-64.29,-64.29
3861.694,77,1172,1095,-64.3,-64.3
3888.5969999999998,74,1172,1098,-58.27,-58.27
3902.621,79,1172,1093,-72.1,-72.1
3943.449,1040,1172,132,-83.48,-83.48
3947.483,75,1172,1097,-88.43,-88.43
3965.433,73,1172,1099,-88.49,-88.49
3994.352,75,1172,1097,-88.57,-88.57
4006.329,77,1172,1095,-88.04,-88.04
4024.238,72,1172,1100,-85.6,-85.6
4050.166,67,1172,1105,-86.98,-86.98
4061.168,64,1172,1108,-85.25,-85.25
4085.075,64,1172,1108,-89.02,-89.02
4106.05,1023,1172,149,-82.03,-82.03
4125.005,1020,1172,152,-89.92,-89.92
4145.949,1016,1172,156,-62.12,-62.12
4169.844,1018,1172,154,-77.44,-77.44
4191.824,1019,1172,153,-85.07,-85.07
4209.781,1016,1172,156,-71.06,-71.06
4233.672,1012,1172,160,-81.4,-81.4
4254.658,1005,1172,167,-79.58,-79.58
4274.601,994,1172,178,-74.86,-74.86
4296.513,983,1172,189,-58.64,-58.64
4320.486,978,1172,194,-56.1,-56.1
4340.428,976,1172,196,-34.96,-34.96
4359.374,977,1172,195,-35.82,-35.82
4382.285,977,1172,195,-49.8,-49.8
4405.257,977,1172,195,-50.29,-50.29
4423.207,977,1172,195,-50.62,-50.62
4448.136,976,1172,196,-51.72,-51.72
4465.055,976,1172,196,-48.3,-48.3
4492.979,977,1172,195,-37.81,-37.81
4512.968,977,1172,195,-38.97,-38.97
4529.9220000000005,977,1172,195,-27.71,-27.71
4550.826,978,1172,194,-35.14,-35.14
4582.783,979,1172,193,-35.53,-35.53
4595.704,978,1172,194,-33.86,-33.86
4615.713,977,1172,195,-32.48,-32.48
4646.5689999999995,977,1172,195,-40.91,-40.91
4660.537,976,1172,196,-41.08,-41.08
4681.517,975,1172,197,-39.89,-39.89
4694.497,974,1172,198,-37.72,-37.72
4737.367,974,1172,198,-35.89,-35.89
4746.304,975,1172,197,-28.66,-28.66
4759.301,975,1172,197,-40.1,-40.1
4776.262,975,1172,197,-34.57,-34.57
4803.216,975,1172,197,-35.16,-35.16
4820.158,975,1172,197,-36.18,-36.18
4846.079,975,1172,197,-40.1,-40.1
4862.994,974,1172,198,-37.98,-37.98
4882.936,973,1172,199,-33.5,-33.5
4908.911,972,1172,200,-33.36,-33.36
4926.82,972,1172,200,-33.43,-33.43
4944.784,972,1172,200,-38.65,-38.65
4964.753,971,1172,201,-37.32,-37.32
4986.667,971,1172,201,-36.38,-36.38
5004.649,971,1172,201,-36.12,-36.12
5042.513,971,1172,201,-36.65,-36.65
5051.488,971,1172,201,-39.99,-39.99
5063.51,970,1172,202,-38.36,-38.36
5085.396,969,1172,203,-36.78,-36.78
5107.383,968,1172,204,-37.7,-37.7
5127.288,968,1172,204,-39.08,-39.08
