Time, Counts, LTA, Delta, Yaw, Pitch
2597.057,1137,1172,35,4.66,4.66
2601.041,1137,1172,35,4.71,4.71
2604.032,1137,1172,35,2.16,2.16
2608.022,1136,1172,36,6.55,6.55
2612.015,1135,1172,37,6.16,6.16
2615.009,1135,1172,37,3.35,3.35
2628.998,1135,1172,37,0.64,0.64
2632.955,1135,1172,37,-1.89,-1.89
2635.946,1133,1172,39,-7.61,-7.61
2640.933,1132,1172,40,-6.42,-6.42
2644.924,1133,1172,39,3.52,3.52
2648.951,1134,1172,38,12.38,12.38
2654.967,1135,1172,37,11.98,11.98
2658.918,1135,1172,37,7.91,7.91
2661.916,1136,1172,36,6.19,6.19
2683.823,1136,1172,36,4.09,4.09
2689.808,1135,1172,37,11.46,11.46
2692.834,1137,1172,35,15.0,15.0
2698.783,1138,1172,34,17.86,17.86
2702.768,1138,1172,34,15.74,15.74
2722.754,1139,1172,33,14.81,14.81
2727.706,1139,1172,33,10.34,10.34
2731.712,1139,1172,33,10.65,10.65
2737.679,1139,1172,33,10.36,10.36
2742.663,1138,1172,34,5.96,5.96
2745.654,1135,1172,37,12.32,12.32
2750.641,1134,1172,38,13.22,13.22
2753.635,1133,1172,39,11.94,11.94
2757.661,1133,1172,39,10.42,10.42
2761.611,1133,1172,39,13.64,13.64
2765.6,1132,1172,40,10.84,10.84
2769.59,1133,1172,39,3.76,3.76
2774.581,1134,1172,38,0.76,0.76
2777.569,1132,1172,40,0.5,0.5
2781.56,1131,1172,41,7.84,7.84
2785.548,1130,1172,42,17.03,17.03
2790.532,1130,1172,42,12.35,12.35
2793.526,1131,1172,41,4.39,4.39
2798.5119999999997,1131,1172,41,3.11,3.11
2801.543,1129,1172,43,1.31,1.31
2806.531,1128,1172,44,-1.76,-1.76
2810.48,1129,1172,43,0.91,0.91
2814.4700000000003,1129,1172,43,2.63,2.63
2823.451,1127,1172,45,2.88,2.88
2831.426,1127,1172,45,4.68,4.68
2846.385,1128,1172,44,10.12,10.12
2856.399,1129,1172,43,22.59,22.59
2866.384,1129,1172,43,21.12,21.12
2873.317,1130,1172,42,16.54,16.54
2884.283,1131,1172,41,16.54,16.54
2908.252,1130,1172,42,13.71,13.71
2930.163,1129,1172,43,22.08,22.08
2938.18,1130,1172,42,36.92,36.92
2956.131,1131,1172,41,42.89,42.89
2976.077,1132,1172,40,47.65,47.65
2997.024,1135,1172,37,55.72,55.72
3017.964,1136,1172,36,55.33,55.33
3063.837,1136,1172,36,61.49,61.49
3071.824,1137,1172,35,62.14,62.14
3082.756,1139,1172,33,55.21,55.21
3102.726,1138,1172,34,49.29,49.29
3123.685,1136,1172,36,54.65,54.65
3145.623,1135,1172,37,62.24,62.24
3168.521,1137,1172,35,55.64,55.64
3185.517,1138,1172,34,49.97,49.97
3210.417,1136,1172,36,51.01,51.01
3224.377,1134,1172,38,53.28,53.28
3248.35,1133,1172,39,62.57,62.57
3267.298,1135,1172,37,49.53,49.53
3290.236,1136,1172,36,60.11,60.11
3321.1549999999997,1134,1172,38,68.07,68.07
3332.125,1133,1172,39,73.16,73.16
3360.013,1134,1172,38,73.85,73.85
3377.008,1135,1172,37,81.64,81.64
3391.969,1134,1172,38,69.65,69.65
3411.91,1133,1172,39,80.61,80.61
3432.863,1132,1172,40,89.83,89.83
3455.784,1131,1172,41,89.39,89.39
3474.742,1132,1172,40,54.14,54.14
3494.6530000000002,1133,1172,39,-86.02,-86.02
3514.632,1128,1172,44,-89.49,-89.49
3539.616,1121,1172,51,82.01,82.01
3558.4880000000003,1120,1172,52,82.01,82.01
3579.465,1125,1172,47,80.7,80.7
3598.411,1127,1172,45,88.16,88.16
3622.366,1123,1172,49,32.67,32.67
3640.299,1120,1172,52,1.44,1.44
3667.233,1119,1172,53,-30.89,-30.89
3685.18,1117,1172,55,-64.54,-64.54
3703.132,1113,1172,59,-35.0,-35.0
3726.07,1108,1172,64,-38.41,-38.41
3745.018,1109,1172,63,3.59,3.59
3765.964,1096,1172,76,-4.32,-4.32
3790.8959999999997,1082,1172,90,-15.18,-15.18
3808.851,1072,1172,100,-16.89,-16.89
3828.757,1065,1172,107,-9.23,-9.23
3850.741,1059,1172,113,7.7,7.7
3871.642,1056,1172,116,10.71,10.71
3892.627,1054,1172,118,-2.11,-2.11
3922.513,1050,1172,122,-20.47,-20.47
3955.4610000000002,1048,1172,124,-21.85,-21.85
3962.437,1045,1172,127,-34.74,-34.74
3980.353,1042,1172,130,-37.98,-37.98
4008.318,1041,1172,131,-36.45,-36.45
4022.239,1040,1172,132,-31.55,-31.55
4048.21,79,1172,1093,-40.11,-40.11
4065.137,79,1172,1093,-37.29,-37.29
4093.092,79,1172,1093,-36.26,-36.26
4104.06,78,1172,1094,-33.58,-33.58
4127.955,78,1172,1094,-36.71,-36.71
4142.955,78,1172,1094,-46.79,-46.79
4161.905,77,1172,1095,-43.04,-43.04
4189.861,76,1172,1096,-40.52,-40.52
4207.781,74,1172,1098,-39.69,-39.69
4224.759,75,1172,1097,-40.0,-40.0
4245.641,75,1172,1097,-46.8,-46.8
4265.593,74,1172,1098,-41.91,-41.91
4283.54,73,1172,1099,-43.52,-43.52
4303.528,73,1172,1099,-41.88,-41.88
4330.416,73,1172,1099,-38.15,-38.15
4345.379,74,1172,1098,-42.21,-42.21
4375.335,74,1172,1098,-38.76,-38.76
4386.265,73,1172,1099,-31.13,-31.13
4408.21,73,1172,1099,-34.62,-34.62
4426.199,72,1172,1100,-38.97,-38.97
4447.103,72,1172,1100,-32.14,-32.14
4473.057,70,1172,1102,-35.35,-35.35
4490.986,70,1172,1102,-35.81,-35.81
4509.978,69,1172,1103,-35.77,-35.77
4528.926,68,1172,1104,-36.42,-36.42
4548.867,67,1172,1105,-38.64,-38.64
4567.783,66,1172,1106,-37.94,-37.94
4602.687,66,1172,1106,-36.52,-36.52
4612.693,66,1172,1106,-39.09,-39.09
4650.596,66,1172,1106,-41.83,-41.83
4654.552,66,1172,1106,-43.2,-43.2
4668.511,66,1172,1106,-38.47,-38.47
4689.488,66,1172,1106,-36.92,-36.92
4708.41,67,1172,1105,-37.08,-37.08
4727.352,67,1172,1105,-35.06,-35.06
4750.335,68,1172,1104,-36.79,-36.79
4775.225,68,1172,1104,-34.31,-34.31
4789.187,67,1172,1105,-34.35,-34.35
4811.135,67,1172,1105,-35.02,-35.02
4830.119,68,1172,1104,-34.81,-34.81
4851.025,68,1172,1104,-37.19,-37.19
4869.009,68,1172,1104,-39.69,-39.69
4893.974,68,1172,1104,-38.93,-38.93
4910.864,68,1172,1104,-38.23,-38.23
4931.84,67,1172,1105,-41.83,-41.83
4953.79,67,1172,1105,-40.16,-40.16
4970.737,67,1172,1105,-39.61,-39.61
4991.6810000000005,67,1172,1105,-39.74,-39.74
5009.632,67,1172,1105,-39.26,-39.26
5032.571,67,1172,1105,-38.76,-38.76
5054.522,67,1172,1105,-38.13,-38.13
5070.469,66,1172,1106,-36.61,-36.61
5092.418,67,1172,1105,-36.58,-36.58
5112.363,67,1172,1105,-37.77,-37.77
5131.278,68,1172,1104,-36.71,-36.71
5154.211,68,1172,1104,-38.8,-38.8
5182.177,67,1172,1105,-38.85,-38.85
5200.128,67,1172,1105,-37.58,-37.58
5235.994,67,1172,1105,-39.48,-39.48
5245.009,66,1172,1106,-38.6,-38.6
5250.952,67,1172,1105,-41.16,-41.16
5286.9,67,1172,1105,-39.05,-39.05
5291.843,67,1172,1105,-38.57,-38.57
5311.8279999999995,67,1172,1105,-36.61,-36.61
5332.743,68,1172,1104,-39.21,-39.21
5356.679,68,1172,1104,-38.73,-38.73
5372.628,66,1172,1106,-38.93,-38.93
5395.571,66,1172,1106,-36.72,-36.72
5425.502,65,1172,1107,-38.42,-38.42
5437.487,65,1172,1107,-39.04,-39.04
5453.444,66,1172,1106,-41.7,-41.7
5476.354,65,1172,1107,-39.51,-39.51
5493.348,66,1172,1106,-37.62,-37.62
5515.244,66,1172,1106,-40.22,-40.22
5544.167,66,1172,1106,-35.32,-35.32
5553.149,66,1172,1106,-40.3,-40.3
5578.077,66,1172,1106,-37.45,-37.45
5594.033,66,1172,1106,-37.4,-37.4
5619.028,65,1172,1107,-39.48,-39.48
5632.929,64,1172,1108,-35.81,-35.81
5665.841,65,1172,1107,-39.13,-39.13
5676.814,65,1172,1107,-39.82,-39.82
5694.765,65,1172,1107,-37.39,-37.39
5714.753,65,1172,1107,-39.95,-39.95
5736.687,65,1172,1107,-38.64,-38.64
5756.606,65,1172,1107,-37.67,-37.67
5779.539,66,1172,1106,-38.62,-38.62
5797.49,65,1172,1107,-43.9,-43.9
5816.439,65,1172,1107,-42.46,-42.46
5836.384,65,1172,1107,-37.1,-37.1
5877.275,65,1172,1107,-38.93,-38.93
5886.251,65,1172,1107,-40.02,-40.02
5920.199,65,1172,1107,-39.89,-39.89
5927.141,65,1172,1107,-40.21,-40.21
5940.11,64,1172,1108,-39.05,-39.05
5957.062,64,1172,1108,-38.04,-38.04
5978.006,65,1172,1107,-39.53,-39.53
5995.96,65,1172,1107,-40.01,-40.01
6018.898,65,1172,1107,-37.16,-37.16
6034.855,64,1172,1108,-39.08,-39.08
6060.785,64,1172,1108,-36.77,-36.77
6077.745,65,1172,1107,-38.35,-38.35
6099.717,65,1172,1107,-38.81,-38.81
6118.666,65,1172,1107,-33.08,-33.08
6137.615,65,1172,1107,-41.69,-41.69
6159.522,66,1172,1106,-38.02,-38.02
6184.455,66,1172,1106,-39.56,-39.56
6204.402,66,1172,1106,-37.9,-37.9
6217.409,65,1172,1107,-37.81,-37.81
6240.313,65,1172,1107,-39.13,-39.13
6260.292,65,1172,1107,-42.02,-42.02
6280.233,65,1172,1107,-41.86,-41.86
6299.182,65,1172,1107,-40.63,-40.63
6317.139,66,1172,1106,-36.13,-36.13
6344.034,66,1172,1106,-28.62,-28.62
6359.024,65,1172,1107,-21.16,-21.16
6380.964,66,1172,1106,-37.63,-37.63
6401.915,66,1172,1106,-52.81,-52.81
6420.861,66,1172,1106,-47.46,-47.46
6442.765,65,1172,1107,-41.48,-41.48
6465.708,64,1172,1108,-30.24,-30.24
6485.65,66,1172,1106,-43.0,-43.0
6521.552,68,1172,1104,-53.98,-53.98
6526.544,67,1172,1105,-52.36,-52.36
6559.452,66,1172,1106,-35.26,-35.26
6565.469,65,1172,1107,-8.47,-8.47
6582.433,67,1172,1105,-10.24,-10.24
6599.388,69,1172,1103,-2.43,-2.43
6627.277,70,1172,1102,9.14,9.14
6648.255,70,1172,1102,15.92,15.92
